Zeit;Kanal A
(ms);(V)

-5,00005387;1,07744800
-4,99994987;1,12435400
-4,99984587;1,07744800
-4,99974187;1,12435400
-4,99963787;1,12435400
-4,99953387;1,12435400
-4,99942987;1,12435400
-4,99932587;1,12435400
-4,99922187;1,12435400
-4,99911787;1,12435400
-4,99901387;1,12435400
-4,99890987;1,12435400
-4,99880587;1,12435400
-4,99870187;1,12435400
-4,99859787;1,12435400
-4,99849387;1,07744800
-4,99838987;1,12435400
-4,99828587;1,12435400
-4,99818187;1,12435400
-4,99807787;1,07744800
-4,99797387;1,12435400
-4,99786987;1,07744800
-4,99776587;1,12435400
-4,99766187;1,07744800
-4,99755787;1,12435400
-4,99745387;1,12435400
-4,99734987;1,07744800
-4,99724587;1,12435400
-4,99714187;1,12435400
-4,99703787;1,07744800
-4,99693387;1,07744800
-4,99682987;1,12435400
-4,99672587;1,12435400
-4,99662187;1,07744800
-4,99651787;1,12435400
-4,99641387;1,12435400
-4,99630987;1,12435400
-4,99620587;1,07744800
-4,99610187;1,07744800
-4,99599787;1,07744800
-4,99589387;1,07744800
-4,99578987;1,07744800
-4,99568587;1,07744800
-4,99558187;1,12435400
-4,99547787;1,07744800
-4,99537387;1,12435400
-4,99526987;1,12435400
-4,99516587;1,12435400
-4,99506187;1,12435400
-4,99495787;1,12435400
-4,99485387;1,12435400
-4,99474987;1,07744800
-4,99464587;1,12435400
-4,99454187;1,12435400
-4,99443787;1,12435400
-4,99433387;1,12435400
-4,99422987;1,12435400
-4,99412587;1,12435400
-4,99402187;1,07744800
-4,99391787;1,12435400
-4,99381387;1,12435400
-4,99370987;1,12435400
-4,99360587;1,12435400
-4,99350187;1,07744800
-4,99339787;1,12435400
-4,99329387;1,12435400
-4,99318987;1,12435400
-4,99308587;1,07744800
-4,99298187;1,12435400
-4,99287787;1,12435400
-4,99277387;1,07744800
-4,99266987;1,17110600
-4,99256587;1,12435400
-4,99246187;1,12435400
-4,99235787;1,12435400
-4,99225387;1,12435400
-4,99214987;1,12435400
-4,99204587;1,12435400
-4,99194187;1,12435400
-4,99183787;1,07744800
-4,99173387;1,12435400
-4,99162987;1,07744800
-4,99152587;1,12435400
-4,99142187;1,07744800
-4,99131787;1,12435400
-4,99121387;1,12435400
-4,99110987;1,12435400
-4,99100587;1,12435400
-4,99090187;1,07744800
-4,99079787;1,12435400
-4,99069387;1,12435400
-4,99058987;1,12435400
-4,99048587;1,12435400
-4,99038187;1,07744800
-4,99027787;1,12435400
-4,99017387;1,07744800
-4,99006987;1,12435400
-4,98996587;1,12435400
-4,98986187;1,12435400
-4,98975787;1,12435400
-4,98965387;1,12435400
-4,98954987;1,12435400
-4,98944587;1,12435400
-4,98934187;1,12435400
-4,98923787;1,07744800
-4,98913387;1,12435400
-4,98902987;1,12435400
-4,98892587;1,12435400
-4,98882187;1,12435400
-4,98871787;1,12435400
-4,98861387;1,12435400
-4,98850987;1,12435400
-4,98840587;1,07744800
-4,98830187;1,12435400
-4,98819787;1,12435400
-4,98809387;1,07744800
-4,98798987;1,12435400
-4,98788587;1,12435400
